yolo,Protocolo,DataEnvio,FoiProrrogado,Anonimo,Ativo,usuario_nome,Nome,Ativo,agente_UF,agente_Poder,agente_Nivel_Federativo,agente_nome,status_final_pedido_nome,ano
5000,10292,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMDU - Secretaria Municipal de Desenvolvimento Urbano,1,São Paulo,Executivo,Municipal,SMDU - Secretaria Municipal de Desenvolvimento Urbano,Atendido,2015
5001,10292,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,SMDU - Secretaria Municipal de Desenvolvimento Urbano,1,São Paulo,Executivo,Municipal,SMDU - Secretaria Municipal de Desenvolvimento Urbano,Atendido,2015
5002,10294,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,SPVM - Subprefeitura Vila Mariana,1,São Paulo,Executivo,Municipal,SPVM - Subprefeitura Vila Mariana,Atendido,2015
5003,10295,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,SPVM - Subprefeitura Vila Mariana,1,São Paulo,Executivo,Municipal,SPVM - Subprefeitura Vila Mariana,Atendido,2015
5004,10297,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,AHM - Autarquia Hospitalar,1,São Paulo,Executivo,Municipal,AHM - Autarquia Hospitalar,Atendido,2015
5005,10298,2015-01-08,1,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5006,10298,2015-01-12,1,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5007,10299,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SGM - Secretaria do Governo Municipal,1,São Paulo,Executivo,Municipal,SGM - Secretaria do Governo Municipal,Atendido,2015
5008,10299,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,SGM - Secretaria do Governo Municipal,1,São Paulo,Executivo,Municipal,SGM - Secretaria do Governo Municipal,Atendido,2015
5009,10300,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,AHM - Autarquia Hospitalar,1,São Paulo,Executivo,Municipal,AHM - Autarquia Hospitalar,Atendido,2015
5010,10301,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,AHM - Autarquia Hospitalar,1,São Paulo,Executivo,Municipal,AHM - Autarquia Hospitalar,Atendido,2015
5011,10302,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,SEHAB - Secretaria Municipal de Habitação,1,São Paulo,Executivo,Municipal,SEHAB - Secretaria Municipal de Habitação,Atendido,2015
5012,10303,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,SMC - Secretaria Municipal de Cultura,1,São Paulo,Executivo,Municipal,SMC - Secretaria Municipal de Cultura,Atendido,2015
5013,10304,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5014,10305,2015-01-08,0,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5015,10306,2015-01-09,0,0,1,Controladoria Geral do Município de São Paulo,SEHAB - Secretaria Municipal de Habitação,1,São Paulo,Executivo,Municipal,SEHAB - Secretaria Municipal de Habitação,Atendido,2015
5016,10307,2015-01-09,0,0,1,Controladoria Geral do Município de São Paulo,SMT - Secretaria Municipal de Transportes,1,São Paulo,Executivo,Municipal,SMT - Secretaria Municipal de Transportes,Atendido,2015
5017,10308,2015-01-09,0,0,1,Controladoria Geral do Município de São Paulo,SPTrans - São Paulo Transportes S/A,1,São Paulo,Executivo,Municipal,SPTrans - São Paulo Transportes S/A,Atendido,2015
5018,10323,2015-01-09,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5019,10324,2015-01-09,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5020,10325,2015-01-09,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5021,10326,2015-01-09,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5022,10327,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5023,10328,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2015
5024,10329,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5025,10329,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5026,10330,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5027,10331,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2015
5028,10332,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5029,10332,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5030,10333,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2015
5031,10333,2015-01-16,0,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2015
5032,10334,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2015
5033,10334,2015-01-16,0,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2015
5034,10335,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,CGM - Controladoria Geral do Município,1,São Paulo,Executivo,Municipal,CGM - Controladoria Geral do Município,Atendido,2015
5035,10336,2015-01-10,0,0,1,Controladoria Geral do Município de São Paulo,SEL - Secretaria Especial de Licenciamentos,1,São Paulo,Executivo,Municipal,SEL - Secretaria Especial de Licenciamentos,Atendido,2015
5036,10336,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SEL - Secretaria Especial de Licenciamentos,1,São Paulo,Executivo,Municipal,SEL - Secretaria Especial de Licenciamentos,Atendido,2015
5037,10339,2015-01-12,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5038,10341,2015-01-12,0,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5039,10342,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SPTrans - São Paulo Transportes S/A,1,São Paulo,Executivo,Municipal,SPTrans - São Paulo Transportes S/A,Atendido,2015
5040,10343,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SPTrans - São Paulo Transportes S/A,1,São Paulo,Executivo,Municipal,SPTrans - São Paulo Transportes S/A,Atendido,2015
5041,10344,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SPTrans - São Paulo Transportes S/A,1,São Paulo,Executivo,Municipal,SPTrans - São Paulo Transportes S/A,Atendido,2015
5042,10347,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SPTrans - São Paulo Transportes S/A,1,São Paulo,Executivo,Municipal,SPTrans - São Paulo Transportes S/A,Atendido,2015
5043,10348,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5044,10349,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5045,10350,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,AMLURB - Autoridade Municipal de Limpeza Urbana,1,São Paulo,Executivo,Municipal,AMLURB - Autoridade Municipal de Limpeza Urbana,Atendido,2015
5046,10350,2015-01-20,0,0,1,Controladoria Geral do Município de São Paulo,AMLURB - Autoridade Municipal de Limpeza Urbana,1,São Paulo,Executivo,Municipal,AMLURB - Autoridade Municipal de Limpeza Urbana,Atendido,2015
5047,10351,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5048,10353,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SEL - Secretaria Especial de Licenciamentos,1,São Paulo,Executivo,Municipal,SEL - Secretaria Especial de Licenciamentos,Atendido,2015
5049,10354,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SNJ - Secretaria Municipal dos Negócios Jurídicos,1,São Paulo,Executivo,Municipal,SNJ - Secretaria Municipal dos Negócios Jurídicos,Atendido,2015
5050,10355,2015-01-13,1,0,1,Controladoria Geral do Município de São Paulo,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,1,São Paulo,Executivo,Municipal,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,Atendido,2015
5051,10355,2015-01-16,1,0,1,Controladoria Geral do Município de São Paulo,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,1,São Paulo,Executivo,Municipal,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,Atendido,2015
5052,10356,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SMSU - Secretaria Municipal de Segurança Urbana,1,São Paulo,Executivo,Municipal,SMSU - Secretaria Municipal de Segurança Urbana,Atendido,2015
5053,10358,2015-01-13,0,0,1,Controladoria Geral do Município de São Paulo,SPLA - Subprefeitura Lapa,1,São Paulo,Executivo,Municipal,SPLA - Subprefeitura Lapa,Atendido,2015
5054,10359,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SVMA - Secretaria Municipal do Verde e do Meio Ambiente,1,São Paulo,Executivo,Municipal,SVMA - Secretaria Municipal do Verde e do Meio Ambiente,Atendido,2015
5055,10360,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SMG - Secretaria Municipal de Gestão,1,São Paulo,Executivo,Municipal,SMG - Secretaria Municipal de Gestão,Atendido,2015
5056,10362,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SPTURIS - São Paulo Turismo S/A,1,São Paulo,Executivo,Municipal,SPTURIS - São Paulo Turismo S/A,Atendido,2015
5057,10363,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5058,10366,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,Prodam - Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo,1,São Paulo,Executivo,Municipal,Prodam - Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo,Atendido,2015
5059,10367,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SPTrans - São Paulo Transportes S/A,1,São Paulo,Executivo,Municipal,SPTrans - São Paulo Transportes S/A,Atendido,2015
5060,10368,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SEHAB - Secretaria Municipal de Habitação,1,São Paulo,Executivo,Municipal,SEHAB - Secretaria Municipal de Habitação,Atendido,2015
5061,10369,2015-01-14,1,0,1,Controladoria Geral do Município de São Paulo,SEHAB - Secretaria Municipal de Habitação,1,São Paulo,Executivo,Municipal,SEHAB - Secretaria Municipal de Habitação,Atendido,2015
5062,10370,2015-01-14,1,0,1,Controladoria Geral do Município de São Paulo,SEHAB - Secretaria Municipal de Habitação,1,São Paulo,Executivo,Municipal,SEHAB - Secretaria Municipal de Habitação,Atendido,2015
5063,10371,2015-01-14,1,0,1,Controladoria Geral do Município de São Paulo,SEHAB - Secretaria Municipal de Habitação,1,São Paulo,Executivo,Municipal,SEHAB - Secretaria Municipal de Habitação,Atendido,2015
5064,10373,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SPTURIS - São Paulo Turismo S/A,1,São Paulo,Executivo,Municipal,SPTURIS - São Paulo Turismo S/A,Atendido,2015
5065,10374,2015-01-14,1,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5066,10374,2015-01-16,1,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5067,10377,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,SMT - Secretaria Municipal de Transportes,1,São Paulo,Executivo,Municipal,SMT - Secretaria Municipal de Transportes,Atendido,2015
5068,10377,2015-02-04,0,0,1,Controladoria Geral do Município de São Paulo,SMT - Secretaria Municipal de Transportes,1,São Paulo,Executivo,Municipal,SMT - Secretaria Municipal de Transportes,Atendido,2015
5069,10378,2015-01-14,0,0,1,Controladoria Geral do Município de São Paulo,CGM - Controladoria Geral do Município,1,São Paulo,Executivo,Municipal,CGM - Controladoria Geral do Município,Atendido,2015
5070,10379,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,AHM - Autarquia Hospitalar,1,São Paulo,Executivo,Municipal,AHM - Autarquia Hospitalar,Atendido,2015
5071,10380,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SME - Secretaria Municipal de Educação,1,São Paulo,Executivo,Municipal,SME - Secretaria Municipal de Educação,Atendido,2015
5072,10381,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,AHM - Autarquia Hospitalar,1,São Paulo,Executivo,Municipal,AHM - Autarquia Hospitalar,Atendido,2015
5073,10382,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,AMLURB - Autoridade Municipal de Limpeza Urbana,1,São Paulo,Executivo,Municipal,AMLURB - Autoridade Municipal de Limpeza Urbana,Atendido,2015
5074,10383,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,CET - Companhia de Engenharia de Tráfego,1,São Paulo,Executivo,Municipal,CET - Companhia de Engenharia de Tráfego,Atendido,2015
5075,10384,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,COHAB - Companhia Metropolitana de Habitação,1,São Paulo,Executivo,Municipal,COHAB - Companhia Metropolitana de Habitação,Atendido,2015
5076,10385,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,FUNDATEC - Fundação Paulistana de Educação e Tecnologia,1,São Paulo,Executivo,Municipal,FUNDATEC - Fundação Paulistana de Educação e Tecnologia,Atendido,2015
5077,10386,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,HSPM - Hospital do Servidor Público Municipal,1,São Paulo,Executivo,Municipal,HSPM - Hospital do Servidor Público Municipal,Atendido,2015
5078,10387,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,IPREM - Instituto de Previdência Municipal de São Paulo,1,São Paulo,Executivo,Municipal,IPREM - Instituto de Previdência Municipal de São Paulo,Atendido,2015
5079,10388,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,Prodam - Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo,1,São Paulo,Executivo,Municipal,Prodam - Empresa de Tecnologia da Informação e Comunicação do Município de São Paulo,Atendido,2015
5080,10389,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SDTE - Secretaria Municipal do Desenvolvimento Trabalho e Empreendedorismo,1,São Paulo,Executivo,Municipal,SDTE - Secretaria Municipal do Desenvolvimento Trabalho e Empreendedorismo,Atendido,2015
5081,10391,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SECOM - Secretaria Executiva de Comunicação,1,São Paulo,Executivo,Municipal,SECOM - Secretaria Executiva de Comunicação,Atendido,2015
5082,10392,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SEHAB - Secretaria Municipal de Habitação,1,São Paulo,Executivo,Municipal,SEHAB - Secretaria Municipal de Habitação,Atendido,2015
5083,10393,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SEL - Secretaria Especial de Licenciamentos,1,São Paulo,Executivo,Municipal,SEL - Secretaria Especial de Licenciamentos,Atendido,2015
5084,10394,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,"SEME - Secretaria Municipal de Esportes, Lazer e Recreação",1,São Paulo,Executivo,Municipal,"SEME - Secretaria Municipal de Esportes, Lazer e Recreação",Atendido,2015
5085,10395,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMG - Secretaria Municipal de Gestão,1,São Paulo,Executivo,Municipal,SMG - Secretaria Municipal de Gestão,Atendido,2015
5086,10396,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SES - Secretaria Municipal de Serviços,1,São Paulo,Executivo,Municipal,SES - Secretaria Municipal de Serviços,Atendido,2015
5087,10397,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,1,São Paulo,Executivo,Municipal,SF - Secretaria Municipal de Finanças e Desenvolvimento Econômico,Atendido,2015
5088,10398,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SFMSP - Serviço Funerário,1,São Paulo,Executivo,Municipal,SFMSP - Serviço Funerário,Atendido,2015
5089,10399,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SGM - Secretaria do Governo Municipal,1,São Paulo,Executivo,Municipal,SGM - Secretaria do Governo Municipal,Atendido,2015
5090,10400,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,1,São Paulo,Executivo,Municipal,SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,Atendido,2015
5091,10401,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,1,São Paulo,Executivo,Municipal,SMADS - Secretaria Municipal de Assistência e Desenvolvimento Social,Atendido,2015
5092,10402,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMC - Secretaria Municipal de Cultura,1,São Paulo,Executivo,Municipal,SMC - Secretaria Municipal de Cultura,Atendido,2015
5093,10403,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMDHC - Secretaria Municipal de Direitos Humanos e Cidadania,1,São Paulo,Executivo,Municipal,SMDHC - Secretaria Municipal de Direitos Humanos e Cidadania,Atendido,2015
5094,10404,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMDU - Secretaria Municipal de Desenvolvimento Urbano,1,São Paulo,Executivo,Municipal,SMDU - Secretaria Municipal de Desenvolvimento Urbano,Atendido,2015
5095,10405,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMDU - Secretaria Municipal de Desenvolvimento Urbano,1,São Paulo,Executivo,Municipal,SMDU - Secretaria Municipal de Desenvolvimento Urbano,Atendido,2015
5096,10406,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SME - Secretaria Municipal de Educação,1,São Paulo,Executivo,Municipal,SME - Secretaria Municipal de Educação,Atendido,2015
5097,10407,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMPED - Secretaria Municipal da Pessoa com Deficiência e Mobilidade Reduzida,1,São Paulo,Executivo,Municipal,SMPED - Secretaria Municipal da Pessoa com Deficiência e Mobilidade Reduzida,Atendido,2015
5098,10408,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMPIR - Secretaria Municipal de Promoção da Igualdade Racial,1,São Paulo,Executivo,Municipal,SMPIR - Secretaria Municipal de Promoção da Igualdade Racial,Atendido,2015
5099,10409,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMPM - Secretaria Especial de Políticas para as Mulheres,1,São Paulo,Executivo,Municipal,SMPM - Secretaria Especial de Políticas para as Mulheres,Atendido,2015
5100,10410,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMRG - Secretaria Municipal de Relações Governamentais,1,São Paulo,Executivo,Municipal,SMRG - Secretaria Municipal de Relações Governamentais,Atendido,2015
5101,10411,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SMRIF - Secretaria Municipal de Relações Internacionais e Federativas,1,São Paulo,Executivo,Municipal,SMRIF - Secretaria Municipal de Relações Internacionais e Federativas,Atendido,2015
5102,10412,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SMS - Secretaria Municipal da Saúde,1,São Paulo,Executivo,Municipal,SMS - Secretaria Municipal da Saúde,Atendido,2015
5103,10413,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMSP - Secretaria Municipal de Coordenação das Subprefeituras,1,São Paulo,Executivo,Municipal,SMSP - Secretaria Municipal de Coordenação das Subprefeituras,Atendido,2015
5104,10414,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMSU - Secretaria Municipal de Segurança Urbana,1,São Paulo,Executivo,Municipal,SMSU - Secretaria Municipal de Segurança Urbana,Atendido,2015
5105,10415,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SNJ - Secretaria Municipal dos Negócios Jurídicos,1,São Paulo,Executivo,Municipal,SNJ - Secretaria Municipal dos Negócios Jurídicos,Atendido,2015
5106,10416,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SMT - Secretaria Municipal de Transportes,1,São Paulo,Executivo,Municipal,SMT - Secretaria Municipal de Transportes,Atendido,2015
5107,10417,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SNJ - Secretaria Municipal dos Negócios Jurídicos,1,São Paulo,Executivo,Municipal,SNJ - Secretaria Municipal dos Negócios Jurídicos,Atendido,2015
5108,10418,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SP OBRAS - São Paulo Obras,1,São Paulo,Executivo,Municipal,SP OBRAS - São Paulo Obras,Atendido,2015
5109,10420,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SPAD - Subprefeitura Cidade Ademar,1,São Paulo,Executivo,Municipal,SPAD - Subprefeitura Cidade Ademar,Atendido,2015
5110,10421,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPAF - Subprefeitura Aricanduva,1,São Paulo,Executivo,Municipal,SPAF - Subprefeitura Aricanduva,Atendido,2015
5111,10422,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPBT - Subprefeitura Butantã,1,São Paulo,Executivo,Municipal,SPBT - Subprefeitura Butantã,Atendido,2015
5112,10423,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPCL - Subprefeitura Campo Limpo,1,São Paulo,Executivo,Municipal,SPCL - Subprefeitura Campo Limpo,Atendido,2015
5113,10424,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPCS - Subprefeitura Capela do Socorro,1,São Paulo,Executivo,Municipal,SPCS - Subprefeitura Capela do Socorro,Atendido,2015
5114,10425,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPCT - Subprefeitura Cidade Tiradentes,1,São Paulo,Executivo,Municipal,SPCT - Subprefeitura Cidade Tiradentes,Atendido,2015
5115,10426,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPCV - Subprefeitura Casa Verde,1,São Paulo,Executivo,Municipal,SPCV - Subprefeitura Casa Verde,Atendido,2015
5116,10427,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPDA - Companhia São Paulo de Desenvolvimento e Mobilização de Ativos,1,São Paulo,Executivo,Municipal,SPDA - Companhia São Paulo de Desenvolvimento e Mobilização de Ativos,Atendido,2015
5117,10428,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPEM - Subprefeitura Ermelino Matarazzo,1,São Paulo,Executivo,Municipal,SPEM - Subprefeitura Ermelino Matarazzo,Atendido,2015
5118,10429,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPFO - Subprefeitura Freguesia/Brasilândia,1,São Paulo,Executivo,Municipal,SPFO - Subprefeitura Freguesia/Brasilândia,Atendido,2015
5119,10430,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPG - Subprefeitura Guaianases,1,São Paulo,Executivo,Municipal,SPG - Subprefeitura Guaianases,Atendido,2015
5120,10431,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SPIP - Subprefeitura Ipiranga,1,São Paulo,Executivo,Municipal,SPIP - Subprefeitura Ipiranga,Atendido,2015
5121,10432,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SPIQ - Subprefeitura Itaquera,1,São Paulo,Executivo,Municipal,SPIQ - Subprefeitura Itaquera,Atendido,2015
5122,10433,2015-01-15,1,0,1,Controladoria Geral do Município de São Paulo,SPIT - Subprefeitura Itaim Paulista,1,São Paulo,Executivo,Municipal,SPIT - Subprefeitura Itaim Paulista,Atendido,2015
5123,10434,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPJA - Subprefeitura Jabaquara,1,São Paulo,Executivo,Municipal,SPJA - Subprefeitura Jabaquara,Atendido,2015
5124,10435,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPJT - Subprefeitura Jaçanã/Tremembé,1,São Paulo,Executivo,Municipal,SPJT - Subprefeitura Jaçanã/Tremembé,Atendido,2015
5125,10436,2015-01-15,0,0,1,Controladoria Geral do Município de São Paulo,SPLA - Subprefeitura Lapa,1,São Paulo,Executivo,Municipal,SPLA - Subprefeitura Lapa,Atendido,2015
